size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,150000000000;0,653834841531;125997,000000000000;0,000000000000;998,000000000000;0,000000000000
1000;0,850000000000;1,878163997099;501997,000000000000;0,000000000000;1998,000000000000;0,000000000000
1500;1,600000000000;3,200000000000;1127997,000000000000;0,000000000000;2998,000000000000;0,000000000000
2000;3,200000000000;3,919183588453;2003997,000000000000;0,000000000000;3998,000000000000;0,000000000000
2500;6,000000000000;3,872983346207;3129997,000000000000;0,000000000000;4998,000000000000;0,000000000000
3000;6,750000000000;3,112474899497;4505997,000000000000;0,000000000000;5998,000000000000;0,000000000000
3500;9,900000000000;3,254228019055;6131997,000000000000;0,000000000000;6998,000000000000;0,000000000000
4000;13,450000000000;3,761316258971;8007997,000000000000;0,000000000000;7998,000000000000;0,000000000000
4500;16,600000000000;1,933907960581;10133997,000000000000;0,000000000000;8998,000000000000;0,000000000000
5000;20,450000000000;3,584340943605;12509997,000000000000;0,000000000000;9998,000000000000;0,000000000000
5500;23,900000000000;2,211334438750;15135997,000000000000;0,000000000000;10998,000000000000;0,000000000000
6000;28,650000000000;3,785168424258;18011997,000000000000;0,000000000000;11998,000000000000;0,000000000000
6500;35,200000000000;4,319722213291;21137997,000000000000;0,000000000000;12998,000000000000;0,000000000000
7000;40,450000000000;2,836811590501;24513997,000000000000;0,000000000000;13998,000000000000;0,000000000000
7500;45,450000000000;3,891978931084;28139997,000000000000;0,000000000000;14998,000000000000;0,000000000000
8000;51,900000000000;3,858756276315;32015997,000000000000;0,000000000000;15998,000000000000;0,000000000000
8500;58,550000000000;4,329838334164;36141997,000000000000;0,000000000000;16998,000000000000;0,000000000000
9000;66,900000000000;3,477067730143;40517997,000000000000;0,000000000000;17998,000000000000;0,000000000000
9500;75,400000000000;3,979949748427;45143997,000000000000;0,000000000000;18998,000000000000;0,000000000000
10000;83,100000000000;3,780211634287;50019997,000000000000;0,000000000000;19998,000000000000;0,000000000000
