size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,650000000000;1,796524422322;126247,000000000000;0,000000000000;998,000000000000;0,000000000000
1000;1,050000000000;2,438749679651;502497,000000000000;0,000000000000;1998,000000000000;0,000000000000
1500;1,950000000000;2,499499949990;1128747,000000000000;0,000000000000;2998,000000000000;0,000000000000
2000;3,100000000000;3,491418050019;2004997,000000000000;0,000000000000;3998,000000000000;0,000000000000
2500;4,350000000000;4,015905875391;3131247,000000000000;0,000000000000;4998,000000000000;0,000000000000
3000;6,750000000000;4,121589499210;4507497,000000000000;0,000000000000;5998,000000000000;0,000000000000
3500;9,850000000000;3,365635155509;6133747,000000000000;0,000000000000;6998,000000000000;0,000000000000
4000;12,050000000000;4,043204174909;8009997,000000000000;0,000000000000;7998,000000000000;0,000000000000
4500;15,900000000000;1,300000000000;10136247,000000000000;0,000000000000;8998,000000000000;0,000000000000
5000;19,350000000000;3,335790760824;12512497,000000000000;0,000000000000;9998,000000000000;0,000000000000
5500;24,650000000000;2,535251466817;15138747,000000000000;0,000000000000;10998,000000000000;0,000000000000
6000;29,450000000000;3,263050719802;18014997,000000000000;0,000000000000;11998,000000000000;0,000000000000
6500;35,400000000000;4,054626986543;21141247,000000000000;0,000000000000;12998,000000000000;0,000000000000
7000;40,250000000000;2,527350391220;24517497,000000000000;0,000000000000;13998,000000000000;0,000000000000
7500;47,750000000000;3,344772040065;28143747,000000000000;0,000000000000;14998,000000000000;0,000000000000
8000;55,250000000000;4,678407848830;32019997,000000000000;0,000000000000;15998,000000000000;0,000000000000
8500;61,800000000000;3,893584466786;36146247,000000000000;0,000000000000;16998,000000000000;0,000000000000
9000;72,050000000000;3,598263470064;40522497,000000000000;0,000000000000;17998,000000000000;0,000000000000
9500;78,750000000000;4,570284455042;45148747,000000000000;0,000000000000;18998,000000000000;0,000000000000
10000;88,200000000000;5,005996404314;50024997,000000000000;0,000000000000;19998,000000000000;0,000000000000
