size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;1,200000000000;2,580697580113;124750,000000000000;0,000000000000;500,000000000000;0,000000000000
1000;0,650000000000;0,572276157113;499500,000000000000;0,000000000000;1000,000000000000;0,000000000000
1500;2,600000000000;3,624913792078;1124250,000000000000;0,000000000000;1500,000000000000;0,000000000000
2000;4,350000000000;4,015905875391;1999000,000000000000;0,000000000000;2000,000000000000;0,000000000000
2500;6,550000000000;2,836811590501;3123750,000000000000;0,000000000000;2500,000000000000;0,000000000000
3000;9,800000000000;3,043024810941;4498500,000000000000;0,000000000000;3000,000000000000;0,000000000000
3500;14,550000000000;3,866199684445;6123250,000000000000;0,000000000000;3500,000000000000;0,000000000000
4000;17,650000000000;3,539420856581;7998000,000000000000;0,000000000000;4000,000000000000;0,000000000000
4500;22,700000000000;4,337049688440;10122750,000000000000;0,000000000000;4500,000000000000;0,000000000000
5000;27,150000000000;3,511053972812;12497500,000000000000;0,000000000000;5000,000000000000;0,000000000000
5500;34,650000000000;1,061838029080;15122250,000000000000;0,000000000000;5500,000000000000;0,000000000000
6000;43,250000000000;2,188035648704;17997000,000000000000;0,000000000000;6000,000000000000;0,000000000000
6500;48,450000000000;0,497493718555;21121750,000000000000;0,000000000000;6500,000000000000;0,000000000000
7000;56,050000000000;0,589491306128;24496500,000000000000;0,000000000000;7000,000000000000;0,000000000000
7500;65,050000000000;0,920597631976;28121250,000000000000;0,000000000000;7500,000000000000;0,000000000000
8000;72,100000000000;2,487971060925;31996000,000000000000;0,000000000000;8000,000000000000;0,000000000000
8500;81,250000000000;3,766629793330;36120750,000000000000;0,000000000000;8500,000000000000;0,000000000000
9000;93,150000000000;1,061838029083;40495500,000000000000;0,000000000000;9000,000000000000;0,000000000000
9500;103,000000000000;3,049590136395;45120250,000000000000;0,000000000000;9500,000000000000;0,000000000000
10000;115,200000000000;4,190465367951;49995000,000000000000;0,000000000000;10000,000000000000;0,000000000000
